country_en,value,month,month_en,date
Greece,955,1,January,2014-01
Greece,1001,2,February,2014-02
Greece,1501,3,March,2014-03
Greece,1257,4,April,2014-04
Greece,1703,5,May,2014-05
Greece,3198,6,June,2014-06
Greece,3927,7,July,2014-07
Greece,6742,8,August,2014-08
Greece,7454,9,September,2014-09
Greece,7432,10,October,2014-10
Greece,3812,11,November,2014-11
Greece,2056,12,December,2014-12
Greece,1690,1,January,2015-01
Greece,2945,2,February,2015-02
Greece,7634,3,March,2015-03
Greece,13133,4,April,2015-04
Greece,18444,5,May,2015-05
Greece,30717,6,June,2015-06
Greece,51951,7,July,2015-07
Greece,107843,8,August,2015-08
Greece,153163,9,September,2015-09
Italy,2171,1,January,2014-01
Italy,3335,2,February,2014-02
Italy,5459,3,March,2014-03
Italy,15679,4,April,2014-04
Italy,14599,5,May,2014-05
Italy,22641,6,June,2014-06
Italy,24031,7,July,2014-07
Italy,24774,8,August,2014-08
Italy,26107,9,September,2014-09
Italy,15277,10,October,2014-10
Italy,9295,11,November,2014-11
Italy,6732,12,December,2014-12
Italy,3528,1,January,2015-01
Italy,4354,2,February,2015-02
Italy,2283,3,March,2015-03
Italy,16063,4,April,2015-04
Italy,21235,5,May,2015-05
Italy,22891,6,June,2015-06
Italy,23186,7,July,2015-07
Italy,22609,8,August,2015-08
Italy,14851,9,September,2015-09
Malta,0,1,January,2014-01
Malta,0,2,February,2014-02
Malta,91,3,March,2014-03
Malta,0,4,April,2014-04
Malta,0,5,May,2014-05
Malta,136,6,June,2014-06
Malta,81,7,July,2014-07
Malta,257,8,August,2014-08
Malta,3,9,September,2014-09
Malta,0,10,October,2014-10
Malta,0,11,November,2014-11
Malta,0,12,December,2014-12
Malta,87,1,January,2015-01
Malta,0,2,February,2015-02
Malta,0,3,March,2015-03
Malta,5,4,April,2015-04
Malta,0,5,May,2015-05
Malta,2,6,June,2015-06
Malta,0,7,July,2015-07
Malta,0,8,August,2015-08
Malta,5,9,September,2015-09
Spain,144,1,January,2014-01
Spain,33,2,February,2014-02
Spain,232,3,March,2014-03
Spain,148,4,April,2014-04
Spain,325,5,May,2014-05
Spain,246,6,June,2014-06
Spain,264,7,July,2014-07
Spain,1705,8,August,2014-08
Spain,380,9,September,2014-09
Spain,341,10,October,2014-10
Spain,211,11,November,2014-11
Spain,319,12,December,2014-12
Spain,241,1,January,2015-01
Spain,44,2,February,2015-02
Spain,267,3,March,2015-03
Spain,240,4,April,2015-04
Spain,438,5,May,2015-05
Spain,377,6,June,2015-06
Spain,346,7,July,2015-07
Spain,385,8,August,2015-08
Spain,0,9,September,2015-09
